NTANAME,BORONAME,socialSCORE,affordabilitySCORE,urbanSCORE,safetySCORE,sentimentSCORE,foodieSCORE,publicspaceSCORE,trendySCORE,musicSCORE,socialjusticeSCORE,nightlifeSCORE,fitnessSCORE,SCORE,score_a,OverallSCORE
Woodside,Queens,-0.72,0.19,-0.12,-0.09,0.18,0.11,0.65,0.41,0.57,-0.41,-0.3,-0.49,0.905396825,9.74,0.905396825
Bedford Park-Fordham North,Bronx,-0.15,-0.4,-0.05,-0.03,0.18,-0.2,-0.34,0.88,1.14,-0.67,1,-0.49,1.332063492,23.18,1.332063492
East New York (Pennsylvania Ave),Brooklyn,0.37,-0.29,-0.12,0.05,0.2,0.08,-0.8,-2.14,2.24,0.46,1.3,-0.49,0.997142857,12.63,0.997142857
Brooklyn Heights-Cobble Hill,Brooklyn,-0.14,-0.28,0,-0.14,0.11,0.15,0.39,-0.37,0.54,-0.31,0.71,0.2,1.046349206,14.18,1.046349206
Flatlands,Brooklyn,-0.59,0.15,-0.14,0.01,0.27,0.21,-0.03,0.13,0.17,0.1,0.63,-0.49,0.965079365,11.62,0.965079365
Central Harlem North-Polo Grounds,Manhattan,0.29,-1.04,-0.07,-0.02,0.28,0.44,0,0.71,-0.05,0.25,-0.63,-0.49,0.593968254,-0.07,0.593968254
Ft. Totten-Bay Terrace-Clearview,Queens,-0.58,0.68,-0.09,-0.12,0.15,1.11,-2.5,0.88,-1.45,1.07,2.42,-0.49,0.967936508,11.71,0.967936508
West Concourse,Bronx,0.36,-1.05,0.03,-0.07,0.15,0.21,0.18,0.46,-0.06,0.43,-0.64,0.31,0.619365079,0.73,0.619365079
Pelham Bay-Country Club-City Island,Bronx,-0.65,-0.01,-0.11,0.24,-0.45,1.11,1.07,-0.63,1.14,-1.05,-1.47,-0.49,0.527936508,-2.15,0.527936508
Rugby-Remsen Village,Brooklyn,-0.52,0,-0.13,-0.05,0.21,-0.51,0.82,-0.03,1.11,-0.07,-0.12,-0.49,0.959047619,11.43,0.959047619
Washington Heights South,Manhattan,0.24,-0.63,0.02,-0.04,-0.24,-0.02,0.39,-0.18,0.16,0.27,0.04,1.42,0.864126984,8.44,0.864126984
Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,-0.46,-0.08,-0.12,0.04,0.07,0.39,-0.12,0.16,0.1,-0.03,0.39,0.69,0.994285714,12.54,0.994285714
Williamsbridge-Olinville,Bronx,0.03,-0.23,-0.13,0.09,-0.58,-1.06,0.83,0.88,1.14,0.22,-0.7,-0.49,0.784126984,5.92,0.784126984
